Name of the initiative,Instrument Type,Jurisdiction Covered,Region,Income group,2017,2018,2019,2020,2021,2022,2023,2024
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,21.38202734,24.7959911,22.47198716,28.43360793,39.34910001,45.3132,52.74375,60.1944
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2.579206433,2.739853937,2.601727731,2.686373292,2.608538677,2.36497545,2.16511837,1.905075808
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,,,,1.112451318,1.176775165,1.08082606,1.124874456,1.059208169
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,18.23313666,20.51855706,23.4574411,32.78690585,15.89263641,18.74948377,11.23638595,6.302427437
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,4.810956152,5.579097997,5.056197112,9.842402744,14.09520001,16.578,16.3125,16.1235
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,83.91650714,100.9038747,96.46308635,99.44064919,101.4745521,129.8560762,130.8115768,132.122213
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,40.12433601,43.345944,45.00075,49.907607
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,40.12433601,40.17402,48.111,52.960323
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,,,,
Massachusetts ETS,ETS,Massachusetts,North America,High income,,,,8.198567,6.5,0.5,12.05,2.25
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.645350139,2.902565531,2.888935848,2.334347127,2.890222937,3.196554986,3.789652385,4.305144789
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.618896637,2.873539875,2.86004649,2.311003656,2.861320707,3.164589436,3.751755861,4.262093341
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.850183916,3.125480958,3.110599644,2.512821243,3.111193889,3.440949677,4.079374333,4.634268632
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.751159803,3.01828344,3.005800607,2.428604942,3.006918806,3.325615661,3.942662242,4.478956713
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.778748274,3.048069893,3.034098439,2.451332564,3.035070812,3.356754069,3.97956196,4.520880978
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.15771583,2.366508464,2.357156744,1.905533433,23.59300442,2.609357411,3.09348327,3.514268488
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.799119031,3.070998104,3.056385143,2.469555078,3.057613473,3.381675315,4.009089229,0.455440209
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.287953144,0.315911432,0.314483185,0.254096507,0.314604538,0.347949224,0.412508505,0.468619233
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.801935622,0.879739607,0.875835862,0.707560222,0.876051342,0.96890588,1.148678135,1.304928108
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.66007108,0.724097113,0.720860048,0.582335065,0.721006276,0.797426827,0.945384158,1.073980138
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.328746544,2.554332411,2.543073819,2.054567401,2.543820939,2.813442388,3.335454369,3.78916299
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,,,,,0,0,0,0
Montenegro ETS,ETS,Montenegro,Europe & Central Asia,Upper middle income,,,,,,,,25.7976
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,,,,,35.23800001,46.1421,60.83475,71.48085
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,,,,,,,17.835,19.3482
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,12.51390628,15.22435739,17.53254126,14.304,25.75989,52.6224,34.19875,35.105
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,,,,14.06766442,23.8758456,31.96930946,48.03073967,58.94488653
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,66.81692435,79.97633721,72.1630486,63.27636253,80.35284871,96.30561592,94.49089451,107.7835515
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,,,,,,9.607686149,7.635627839,16.25016067
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,,,,,17.47821089,24.13359259,23.57500095,80.97537688
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,,,,,,21.96042548,9.067308059,16.15835185
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,66.93353329,79.84775789,71.9298885,63.27636253,80.35284871,95.96248427,94.30000382,107.9671692
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,58.07125362,63.51818422,57.35738273,50.27171133,64.86879611,77.6621297,71.77490169,72.43715686
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,0.073501755,0.085404789,0.078396522,0.071940534,0.078624328,0.076230406,0.079191317,
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,,,14.16973902,13.79142022,27.81387336,26.17052003,25.75139389,
Queretaro carbon tax,Carbon tax,Queretaro,Latin America & Caribbean,Upper middle income,,,,,,,32.20020508,36.69819464
RGGI,ETS,RGGI,North America,High income,3.94,4.3,4.94,5.13,8.69,13.89,15.3882476,17.64
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,13.3868846,5.68827807,5.851636766,5.577245589,5.415651232,3.83797054,1.078813305,0.949241925
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,4.571166771,6.208696451,6.090597015,5.068904049,6.315244849,9.276907593,8.720972556,10.06178044
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,5.364953508,6.728953374,0.552742537,2.384538589,1.12000487,0.641630496,8.769017981,8.95609028
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,,,3.693856332,3.510250467,3.713606655,3.6856848,3.767897513,18.47882327
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,18.49545365,21.4485323,19.4382689,18.91928527,20.32058001,19.11996,0,18.59577
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,,,,7.059867261,9.150942752,9.83519223,8.925614268,10.08578223
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,,24.7959911,16.85399037,16.40400457,17.61900001,16.578,16.3125,16.1235
State of Mexico carbon tax,Carbon tax,State of Mexico,Latin America & Caribbean,Upper middle income,,,,,,,2.383393842,3.5008722
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,127.2581988
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,142.942256
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,114.6956026
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,135.0681255
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,135.9561928
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,,,,,,,,137.4864721
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,83.91650714,100.9038747,96.46308635,99.44064919,101.4745521,129.8560762,130.8115768,132.122213
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,6.949158886,9.298496661,8.033735411,19.84884553,46.10305002,65.59362,93.80775,59.173245
Taiwan carbon fee,Carbon tax,"Taiwan, China",East Asia & Pacific,Upper middle income,,,,,,,,9.121943803
Tamaulipas carbon tax,Carbon tax,Tamaulipas,Latin America & Caribbean,Upper middle income,,,,,,14.54704886,17.25022864,
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,1.23494061,1.354769405,2.075391791,2.815275784,3.804364367,4.403346543,4.603625246,4.70885796
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,13.3868846,5.68827807,5.851636766,5.577245589,4.874086109,4.41898527,41.95385076,36.91496374
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,22.41451148,25.45739885,23.5889942,22.28400261,24.795,23.6538,22.2759,22.6188
UK ETS,ETS,United Kingdom,Europe & Central Asia,High income,,,,,,98.991153,88.1259355,45.061676
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,0.013668267,0.015442561,0.368369447,0.384615385,0.35942004,1.025469238,0.820375951,0.767756283
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,High income,,,,,,137.2954109,155.8683502,167.1738104
Washington CCA,ETS,Washington,North America,High income,,,,,,,22.2,25.75
Yucatan carbon tax,Carbon tax,Yucatan,Latin America & Caribbean,Upper middle income,,,,,,,15.52531663,17.69383062
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,12.60419295,13.68294628,13.00938111,11.80235752,12.23091977,12.59877439,13.85694094,15.08996638
